,0,1,2,3
0,282718be32f37ff03ed1285a756fa070.jpeg,"[38, 124, 262, 305]",d5eeb639b18761a2ce96b7037585d895_lab,frites
1,1dc879c960bbf936557a4162bd39df41.jpeg,"[76, 94, 162, 189]",cbe874e634b5e1bc9a488a1ab28a0a97_lab,haricots
2,239120_2018_04_21_10_12_41_697687.jpg,"[0, 245, 601, 356]",d5eeb639b18761a2ce96b7037585d895_lab,frites
3,239120_2018_04_21_10_12_41_697687.jpg,"[0, 80, 301, 247]",d5eeb639b18761a2ce96b7037585d895_lab,frites
4,243889_2018_04_18_19_13_10_917472.jpg,"[411, 215, 190, 183]",d5eeb639b18761a2ce96b7037585d895_lab,frites
5,243889_2018_04_18_19_13_10_917472.jpg,"[89, 4, 128, 68]",d5eeb639b18761a2ce96b7037585d895_lab,frites
6,fdf6836ec5a77146139918afea935f73.jpeg,"[0, 94, 325, 288]",d5eeb639b18761a2ce96b7037585d895_lab,frites
7,280995_2018_04_17_11_33_56_639468.jpg,"[293, 67, 140, 94]",d5eeb639b18761a2ce96b7037585d895_lab,frites
8,fe9f7ca9e47693068c2cebab3b99fcd7.jpeg,"[171, 402, 70, 90]",6429aa7d7712a27511bc0061567e79cd_lab,pomme_d_t
9,285538_2018_04_15_11_37_43_096329.jpg,"[154, 155, 412, 328]",cbe874e634b5e1bc9a488a1ab28a0a97_lab,haricots
10,9238cd5a466be6fb2fe325f635d12a56.jpeg,"[74, 130, 247, 312]",d5eeb639b18761a2ce96b7037585d895_lab,frites
11,caba24e8b8450b21cba110b7a3d63bc7.jpeg,"[174, 109, 257, 121]",6429aa7d7712a27511bc0061567e79cd_lab,pomme_d_t
12,caba24e8b8450b21cba110b7a3d63bc7.jpeg,"[252, 373, 126, 59]",6429aa7d7712a27511bc0061567e79cd_lab,pomme_d_t
13,caba24e8b8450b21cba110b7a3d63bc7.jpeg,"[394, 303, 113, 93]",6429aa7d7712a27511bc0061567e79cd_lab,pomme_d_t
14,be21690cd30277e9661a045a52e70b48.jpeg,"[214, 58, 146, 80]",6429aa7d7712a27511bc0061567e79cd_lab,pomme_d_t
15,4b20b02416f00cf5e916a2fdddcc9795.jpeg,"[96, 204, 136, 113]",6429aa7d7712a27511bc0061567e79cd_lab,pomme_d_t
